"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_64_100692_101314_+" 2.30500252072133 2.70776202804786 12.1450884492754 3.25419686479585e-09 1.23785191715667e-08 11.3356124478753
"scaffold_46_301213_301528_+" 2.13468635707008 2.10004938700956 12.1417543129012 3.26657298809746e-09 1.24245054237829e-08 11.3502075399674
"scaffold_1_1849676_1851398_-" 2.51152107900338 2.43473323466608 12.1411318510562 3.26888905084795e-09 1.24322232283215e-08 11.3143067331166
"scaffold_10_26258_26676_-" 2.20896970282375 1.6057907360658 12.139609743036 3.27455986013916e-09 1.24526973141744e-08 11.339475631268
"scaffold_10_502004_502271_-" 2.69855440499138 2.40625648640918 12.1341341409887 3.29504627964044e-09 1.25295045736091e-08 11.2859156715077
"scaffold_123_204674_205193_+" 2.40144908318503 2.4253535112823 12.1324569963101 3.30134828658594e-09 1.25521937563321e-08 11.3142670613434
"scaffold_24_1026993_1027408_-" 2.24180991272508 3.17396100941163 12.1323920516063 3.30159257829387e-09 1.25521937563321e-08 11.3271406526439
"scaffold_4_1159234_1160016_+" 2.31613271250063 2.22953431858367 12.1314753962919 3.30504265239077e-09 1.25642079457298e-08 11.3231030702669
"scaffold_98_85972_86350_-" 2.0837598926089 2.31805045908318 12.1312052692355 3.30606007547014e-09 1.25669730505193e-08 11.34429136247
"scaffold_2_785812_785834_+" 2.33045566791477 2.67172128155506 12.130435297102 3.30896196737602e-09 1.2576900271825e-08 11.3183808562843
"scaffold_21_644497_644781_-" 2.08539492314268 1.43032243106203 12.1298901586412 3.31101813193664e-09 1.25833783842969e-08 11.3410599859413
"scaffold_215_95735_96206_+" 2.50244873473637 2.63497599978124 12.1298294446993 3.31124721782231e-09 1.25833783842969e-08 11.3010628993836
"scaffold_1_632374_633158_+" 1.96910167858458 1.67224264671734 12.1297470822553 3.31155801469771e-09 1.25834557573051e-08 11.354542230812
"scaffold_64_357933_358064_-" 2.0532786639727 1.89975159714115 12.1296461372124 3.31193897566677e-09 1.25837997070717e-08 11.3462249638043
"scaffold_4_238174_238573_-" 2.19561959807404 1.71356110718791 12.1274403177722 3.32027522096611e-09 1.26143672591703e-08 11.3291650056825
"scaffold_133_224602_224940_+" 2.27220037981558 2.20300466922876 12.1213273710722 3.343493705272e-09 1.27014649955822e-08 11.3117231605969
"scaffold_16_302397_302519_-" 2.03728569874126 2.10065239136064 12.119748744798 3.34951762920702e-09 1.27232334563408e-08 11.3359550721777
"scaffold_187_29959_30386_+" 2.31379999645241 2.21926185763347 12.1189561283011 3.35254653247094e-09 1.27336224305984e-08 11.3064743371621
"scaffold_131_212637_213087_+" 2.08382892967118 1.52265359489681 12.116205494001 3.36308033462886e-09 1.27725121474518e-08 11.3251153430147
"scaffold_7_1510621_1511118_+" 2.16715645537814 0.877405149956212 12.1114589282889 3.38134030146366e-09 1.28407353756871e-08 11.311724987643
"scaffold_16_632326_632377_-" 2.63206369040345 2.50710558312584 12.110675860115 3.38436283487765e-09 1.28510871326827e-08 11.262696120431
"scaffold_211_22166_22322_-" 2.09437800555244 1.47477965267246 12.1104646868474 3.38517842414576e-09 1.28530576114748e-08 11.3177702936671
"scaffold_7_1510288_1510390_+" 2.0027722018048 1.00104286521411 12.1044006159402 3.40868804599369e-09 1.29411863197269e-08 11.3204106862836
"scaffold_6_1827898_1827993_-" 2.03242070104933 2.85940063946283 12.1028017520684 3.41491541423645e-09 1.29636927396135e-08 11.3159823882181
"scaffold_16_146157_146286_-" 2.04693860875364 1.25341511523213 12.1008331933591 3.42259925955732e-09 1.29917238058157e-08 11.3112724785584
"scaffold_77_282529_282568_+" 2.30534069682067 2.5793549427448 12.0948690471935 3.44599106255632e-09 1.30793700198261e-08 11.2789696230966
