"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_24_466939_467892_+" 2.49105246318379 2.38698847979348 12.1608281162199 3.19643941281401e-09 1.27439895094856e-08 11.3981222232739
"scaffold_1_3978220_3978246_+" 2.55226862538254 2.68015811753238 12.1606361549231 3.19713724302048e-09 1.27455988398146e-08 11.3874181355876
"scaffold_62_670316_670729_-" 2.27207108394186 1.92412739427576 12.1580886597334 3.20641336655841e-09 1.27814026607333e-08 11.4111309081993
"scaffold_374_40227_40451_-" 2.38867211735527 2.94350241946081 12.1563697304582 3.2126885678925e-09 1.28052387205621e-08 11.3955503755643
"scaffold_40_777858_777960_-" 3.04756957485514 1.71172626445307 12.152444013715 3.22706882055364e-09 1.28613728009665e-08 11.3174800824568
"scaffold_67_519767_519994_-" 2.30596213337585 2.0872850959254 12.1486807087422 3.240918192533e-09 1.29145721012805e-08 11.3930772788506
"scaffold_20_336822_337079_-" 2.27897718974457 2.01517435178225 12.1486549226562 3.24101330511061e-09 1.29145721012805e-08 11.4000953434642
"scaffold_1_2650593_2650986_-" 2.68016370777789 2.30665106097283 12.1478892863555 3.24383872061363e-09 1.29246419357464e-08 11.3523280878198
"scaffold_76_378841_379785_+" 2.22208720291907 2.36412491047985 12.1441070056238 3.25783475864696e-09 1.29792136784495e-08 11.4014848366224
"scaffold_5_1658309_1658926_+" 2.83652952167572 2.37620534742885 12.1437950898335 3.25899183176502e-09 1.29826296527263e-08 11.3364449303944
"scaffold_94_452019_452383_+" 2.48811586635868 2.02543107248266 12.1371359185259 3.28379866296399e-09 1.30802483103409e-08 11.3678207733546
"scaffold_18_1167052_1167202_+" 2.33831656044683 2.13875348987948 12.1326840512366 3.3004943623055e-09 1.31455431826851e-08 11.3788580054466
"scaffold_36_1043143_1043193_-" 2.32201572516524 2.12115710484452 12.1318129670233 3.30377167169929e-09 1.31573868414416e-08 11.3719857769066
"scaffold_1_1003008_1003289_+" 2.40910523522343 2.11714252115809 12.1302394393369 3.30970055197595e-09 1.31797873267381e-08 11.367907940096
"scaffold_21_845275_845598_-" 2.53378692410321 1.5047578037639 12.1286598554973 3.31566359242323e-09 1.32023197137514e-08 11.3496758501635
"scaffold_163_260025_260379_+" 2.38362914853451 2.54053565626938 12.1282566834577 3.31718741835336e-09 1.32071735055668e-08 11.3621819474519
"scaffold_83_294163_294368_-" 2.40214857210904 2.10730658346131 12.1261183239242 3.32528196126032e-09 1.3238184898793e-08 11.3591672877091
"scaffold_12_1419851_1420119_-" 2.14154993060124 1.82289613095041 12.125778155141 3.32657156413419e-09 1.32421021304371e-08 11.3873907545569
"scaffold_958_8099_8146_+" 3.26691577258215 3.24900606792293 12.1238087767005 3.33404803433061e-09 1.32706444772998e-08 11.2758751261532
"scaffold_262_53271_54118_+" 2.83386649736733 2.88256447696138 12.1235248586351 3.33512735731616e-09 1.32737210989418e-08 11.3161183935111
"scaffold_6_927387_927807_+" 2.67376222334505 2.36976886442091 12.121552458246 3.3426357244402e-09 1.33023822354272e-08 11.3255775326875
"scaffold_115_324099_324245_-" 2.36646995722197 1.95631586735758 12.1190082117561 3.35234741178275e-09 1.33398056541972e-08 11.3586388929457
"scaffold_111_371244_371609_+" 2.37278355886712 0.259335916448448 12.1177672935533 3.3570949860167e-09 1.33574706000698e-08 11.3511430709772
"scaffold_4_2093175_2093301_+" 2.29831444469083 2.03237904823209 12.1166505274125 3.36137366364081e-09 1.33732667907164e-08 11.3614012095674
"scaffold_849_8792_9178_-" 2.83541666583242 1.74995631887953 12.1157904270721 3.36467291390282e-09 1.33851637744701e-08 11.3038327766623
"scaffold_13_775076_777983_+" 2.47471491101096 2.54059469659157 12.1146263967373 3.36914347178732e-09 1.34017177798988e-08 11.3417561211025
"scaffold_158_217769_218392_-" 2.19013297722135 2.09375927317986 12.1135676333064 3.37321520956181e-09 1.34166824721817e-08 11.368030019063
"scaffold_62_710125_710286_+" 2.16991035646973 0.568763206440177 12.112084571985 3.37892746016491e-09 1.34381688212874e-08 11.3665708920675
"scaffold_8_1998486_1998678_-" 2.54860014384467 2.39969898964752 12.1114190533554 3.38149414397844e-09 1.34471422929793e-08 11.3222039317196
"scaffold_63_682946_683392_+" 2.17100265204701 2.20262399298971 12.110691457781 3.38430260213542e-09 1.34570754900991e-08 11.3678807836789
"scaffold_204_91455_92021_+" 2.17817110138687 2.19280017636495 12.1084695919282 3.39289412760876e-09 1.34900000892702e-08 11.3614278367162
"scaffold_11_625186_625418_-" 2.24141451407724 2.15419559211 12.106560900092 3.4002931251417e-09 1.3518177641759e-08 11.3559115623709
"scaffold_7_1386415_1386648_+" 2.69271453053916 1.69998504957886 12.1032505403267 3.41316622584622e-09 1.35681108267743e-08 11.3100231967939
"scaffold_4_2404126_2406403_-" 2.26332279032799 2.67498609377007 12.0998277699632 3.42653077954077e-09 1.36199883077416e-08 11.3443715525139
"scaffold_73_186405_186638_+" 2.18132080716331 2.65785824960041 12.0966865839971 3.43884466028968e-09 1.36676803735172e-08 11.3473375067588
"scaffold_57_112021_112236_-" 2.26001618974077 2.36936747861659 12.0938899022518 3.44984749934479e-09 1.3710153435756e-08 11.3367936647961
"scaffold_12_1069391_1071100_-" 2.24862437800725 2.57349957633751 12.0932364109157 3.45242386908761e-09 1.37191338670173e-08 11.3371391910951
"scaffold_39_643137_643506_+" 2.41732961754628 2.44087933749163 12.0904514031726 3.46342655852015e-09 1.37615938256093e-08 11.3123108135596
"scaffold_116_66970_67492_-" 2.39407462905158 2.85216283240874 12.0902275650892 3.46431248409356e-09 1.37638516905857e-08 11.315183336056
"scaffold_17_560469_560604_+" 3.11546422980781 2.59256920843896 12.0879327104599 3.47340912002422e-09 1.37987276301274e-08 11.237805125726
"scaffold_48_725146_725409_+" 2.39586650757925 1.99324476319236 12.0874273907003 3.47541556879896e-09 1.38054327435393e-08 11.320152077884
"scaffold_6_813995_814194_-" 2.7233600558391 2.94094269235594 12.0864941733208 3.47912427917628e-09 1.38188979207546e-08 11.2785750356614
"scaffold_121_351628_351921_+" 2.47405664442992 2.64263022534705 12.0825623923544 3.49479573336992e-09 1.38798716604625e-08 11.3072974827468
"scaffold_9_1488852_1489553_+" 2.17107257388044 2.18605217613133 12.0810725890013 3.50075337884136e-09 1.39022585601907e-08 11.3351108721903
"scaffold_8_919221_919756_+" 2.47714457689293 2.65220838631865 12.0805296703819 3.50292715662474e-09 1.39096161660639e-08 11.3019357272695
"scaffold_100_93355_93502_-" 2.48111918072669 2.24570599660142 12.0797773622143 3.50594166818314e-09 1.39203105494595e-08 11.2987886713073
"scaffold_4858_3164_3380_+" 2.98720227396181 3.06990271518027 12.0732854790726 3.53206924735301e-09 1.40227647952732e-08 11.2434847120004
"scaffold_245_31361_31734_-" 2.59102306292336 2.64840483416818 12.0719663525428 3.53740345110939e-09 1.40426554812869e-08 11.2739580341319
"scaffold_1_2919861_2920560_+" 2.20786569985293 2.55314013682383 12.0707703565005 3.5422471256794e-09 1.40605954161416e-08 11.3151376247827
"scaffold_14_1373980_1374233_+" 2.17289540699383 2.10877806175387 12.0701720814448 3.54467272149742e-09 1.40689346218026e-08 11.3169928901328
"scaffold_1041_2490_2774_-" 2.59921029727357 2.2438087111918 12.0692715285329 3.54832716612896e-09 1.40821491984706e-08 11.2698805275454
"scaffold_79_288942_289148_+" 2.16543012474025 1.53138463224393 12.0685582966078 3.55122429493292e-09 1.40923560910665e-08 11.3198324966143
"scaffold_1_3787144_3787801_+" 3.09863545158299 3.34167843780488 12.0682787419766 3.55236052193767e-09 1.40955739512292e-08 11.2119666119891
"scaffold_100_129308_129569_+" 2.48693190503492 1.93624186133008 12.0667244515908 3.5586848372026e-09 1.41193753898022e-08 11.2782397006237
"scaffold_19_1155815_1156233_-" 2.25266464497897 2.46118489871918 12.0663023148039 3.56040454608348e-09 1.41249049870537e-08 11.3056384908967
"scaffold_12_842237_842864_+" 2.24263514145032 1.92810614997502 12.0661185695506 3.56115336604024e-09 1.41265821952993e-08 11.3092294983808
"scaffold_18_503837_504109_+" 2.22632085884619 2.4777982168471 12.0629745010121 3.57399232945734e-09 1.41762145624891e-08 11.3040735110438
"scaffold_1_3122656_3123069_+" 2.5860822191824 2.31382098986812 12.0610911380643 3.58170661994692e-09 1.4205512725725e-08 11.2608273284066
"scaffold_5_1614149_1616146_-" 2.57297308311915 2.66643365887626 12.0599951420096 3.58620396011749e-09 1.42220478513547e-08 11.2625979873874
"scaffold_51_104113_104421_+" 2.38276042214413 1.95427514100474 12.0587891378799 3.59115962596028e-09 1.42403973965179e-08 11.2811427864115
"scaffold_115_203565_203683_-" 2.60436507263065 -0.449467204076945 12.0550694495493 3.6064901838148e-09 1.42998804524536e-08 11.2573101142385
"scaffold_3_451963_452416_+" 4.70047538890265 4.82365253391317 12.0526215941313 3.61661675213788e-09 1.43387204797882e-08 11.0512748563826
"scaffold_114_252598_252949_-" 2.53794448669831 1.98213341273516 12.0523550434793 3.61772126698583e-09 1.43417871363737e-08 11.2579692159778
"scaffold_810_6856_6959_-" 2.32530136259217 2.19674113398807 12.0510753049074 3.6230291421609e-09 1.43615151521741e-08 11.2829311991164
"scaffold_10_953147_953334_-" 2.63578490963805 0.798420639966561 12.0504164719075 3.62576495114313e-09 1.43710449431184e-08 11.2505449283474
"scaffold_173_160830_161308_-" 2.54371369704445 2.53431435363084 12.0502113156332 3.62661731099121e-09 1.43731084537144e-08 11.2615795492864
"scaffold_86_158823_158984_+" 2.7348210432128 3.27021752490429 12.0483588264008 3.6343234427103e-09 1.44023321575841e-08 11.2327939033884
"scaffold_177_211066_211086_+" 2.61602559128353 2.43420427422852 12.0480652172887 3.63554641323717e-09 1.44058609749326e-08 11.24429857946
"scaffold_121_373173_373375_-" 3.07405496408364 2.16818975482663 12.046330638844 3.64278035917126e-09 1.44332054724695e-08 11.1997850552561
"scaffold_206_96228_96659_+" 2.32183453719649 2.13264317051771 12.042352208585 3.6594298119019e-09 1.44978471132463e-08 11.2721519510381
"scaffold_33_36936_37972_-" 2.31283315754029 2.32293465497354 12.0383458432114 3.67627767696215e-09 1.45632629269509e-08 11.2687557776348
"scaffold_14_866180_866404_+" 2.28047789231551 2.11607498396174 12.0380209158571 3.67764768407795e-09 1.45673581605743e-08 11.2741081313841
"scaffold_117_368275_368389_-" 2.25261340531244 1.24586931669771 12.0377986448956 3.67858516761078e-09 1.45697395531497e-08 11.2750196774739
"scaffold_17_13210_13226_-" 2.56948115298828 2.96438983478109 12.030511875087 3.70945959583651e-09 1.46906806626337e-08 11.2290314810111
"scaffold_1_335720_336044_+" 2.25806907387603 2.11134056031518 12.0300558852517 3.71140075522863e-09 1.46970248716786e-08 11.2630830938975
